step,value
0,-0.0
500,0.0007991983438841999
1000,-0.0004406858643051237
1501,-0.003047290723770857
2001,-0.006296899635344744
2502,-0.0034321220591664314
3002,-0.005217307712882757
3503,-0.005368947982788086
4003,-0.00611359067261219
4504,-0.02032419852912426
5004,-0.03378881514072418
5505,-0.035153258591890335
6005,-0.04015873745083809
6506,-0.04224267601966858
7006,-0.0396566241979599
7507,-0.05252900719642639
8007,-0.04108939319849014
8507,-0.03689729422330856
9008,-0.06118544563651085
9508,-0.022003011777997017
10009,-0.039796099066734314
10509,-0.07225474715232849
11010,-0.08862695842981339
11510,-0.09195219725370407
12011,-0.09311811625957489
12511,-0.1320328414440155
13012,-0.13556241989135742
13512,-0.14240610599517822
14013,-0.1371660679578781
14513,-0.11368243396282196
15014,-0.1496085822582245
15514,-0.11877657473087311
16015,-0.09865816682577133
16515,-0.09249433130025864
17015,-0.10571716725826263
17516,-0.12696075439453125
18016,-0.1420825570821762
18517,-0.14181485772132874
19017,-0.12317553162574768
19518,-0.16382426023483276
20018,-0.19758713245391846
20519,-0.1935923546552658
21019,-0.1485082060098648
21520,-0.11315523833036423
22020,-0.08268370479345322
22521,-0.05464272201061249
23021,-0.027876796200871468
23522,-0.00697804382070899
24022,0.04810582101345062
24523,0.05128978565335274
25023,0.04821670800447464
25523,0.01066224928945303
26024,0.054394688457250595
26524,0.011584345251321793
27025,0.1429242640733719
27525,0.05475357547402382
28026,0.04091868922114372
28526,0.05894533544778824
29027,0.11928896605968475
29527,0.14414100348949432
30028,0.1583949774503708
30528,0.271481990814209
31029,0.22108504176139832
31529,0.30385804176330566
32030,0.26534193754196167
32530,0.3182395100593567
33030,0.2641545236110687
33531,0.32619425654411316
34031,0.28350383043289185
34532,0.275767982006073
35032,0.15176518261432648
35533,0.09986099600791931
36033,0.10965006798505783
36534,0.2185215950012207
37034,0.22539550065994263
37535,0.20426319539546967
38035,0.0682162493467331
38536,0.045015715062618256
39036,0.12902404367923737
39537,-0.022328346967697144
40037,0.14883406460285187
40538,0.22334782779216766
41038,0.268973708152771
41538,0.1664857417345047
42039,0.10676264762878418
42539,0.1271156370639801
43040,0.2569822669029236
43540,0.10350794345140457
44041,0.14523640275001526
44541,0.05781285837292671
45042,-0.0023070857860147953
45542,-0.07242205739021301
46043,-0.14280828833580017
46543,0.0046190423890948296
47044,-0.1500132977962494
47544,-0.0631042942404747
48045,-0.036805227398872375
48545,0.06169786676764488
49046,0.19588229060173035
49546,0.27006593346595764
50046,0.08326621353626251
50547,0.028125157579779625
51047,0.01326875388622284
51548,0.09511393308639526
52048,0.005364209413528442
52549,0.03138989582657814
53049,0.30268386006355286
53550,0.24054616689682007
54050,0.18954917788505554
54551,0.19994835555553436
55051,0.17063018679618835
55552,0.20271167159080505
56052,0.12498290091753006
56553,0.051177117973566055
57053,-0.2877296209335327
57553,-0.09800007939338684
58054,-0.20449329912662506
58554,-0.1914101094007492
59055,-0.2409306764602661
59555,-0.38685956597328186
60056,-0.37672752141952515
60556,-0.614783525466919
61057,-0.4843744933605194
61557,-0.6083071827888489
62058,-0.7023084163665771
62558,-0.763835608959198
63059,-0.9028942584991455
63559,-1.265627384185791
64060,-1.0722694396972656
64560,-1.2654742002487183
65061,-1.2968919277191162
65561,-1.4577926397323608
66061,-1.6421191692352295
66562,-1.7077043056488037
67062,-1.712548017501831
67563,-1.996805191040039
68063,-2.2229690551757812
68564,-2.0269250869750977
69064,-2.09277606010437
69565,-2.18176007270813
70065,-2.1741116046905518
70566,-1.8612332344055176
71066,-1.9930009841918945
71567,-2.062042474746704
72067,-1.8669942617416382
72568,-1.7744053602218628
