step,value
0,169.0
5004,103.0
10009,168.0
15014,130.0
20018,142.0
25023,170.0
30028,79.0
35032,54.0
40037,181.0
45042,105.0
50046,124.0
55051,180.0
60056,77.0
65061,92.0
70065,92.0
75070,53.0
80075,136.0
85079,191.0
90084,145.0
95089,127.0
100093,64.0
105098,184.0
110103,136.0
115107,127.0
120112,61.0
125117,135.0
130122,112.0
135126,55.0
140131,123.0
145136,98.0
150140,95.0
155145,170.0
160150,110.0
165154,86.0
170159,110.0
175164,161.0
180169,73.0
185173,185.0
190178,63.0
195183,102.0
200187,127.0
205192,195.0
210197,127.0
215201,68.0
220206,130.0
225211,177.0
230215,160.0
235220,130.0
240225,146.0
245230,148.0
250234,78.0
255239,81.0
260244,119.0
265248,74.0
270253,98.0
275258,132.0
280262,61.0
285267,100.0
290272,138.0
295276,58.0
300281,160.0
305286,88.0
310291,188.0
315295,186.0
320300,176.0
325305,160.0
330309,127.0
335314,75.0
340319,175.0
345323,58.0
350328,151.0
355333,141.0
360338,156.0
365342,71.0
370347,154.0
375352,120.0
380356,126.0
385361,123.0
390366,50.0
395370,128.0
400375,145.0
405380,170.0
410384,174.0
415389,134.0
420394,50.0
425399,153.0
430403,75.0
435408,107.0
440413,75.0
445417,82.0
450422,119.0
455427,142.0
460431,126.0
465436,171.0
470441,117.0
475445,183.0
480450,94.0
485455,191.0
490460,73.0
495464,138.0
