step,value
0,9.999999747378752e-05
500,9.999999747378752e-05
1000,9.999999747378752e-05
1501,9.999999747378752e-05
2001,9.999999747378752e-05
2502,9.999999747378752e-05
3002,9.999999747378752e-05
3503,9.999999747378752e-05
4003,9.999999747378752e-05
4504,9.999999747378752e-05
5004,9.999999747378752e-05
5505,9.999999747378752e-05
6005,9.999999747378752e-05
6506,9.999999747378752e-05
7006,9.999999747378752e-05
7507,9.999999747378752e-05
8007,9.999999747378752e-05
8507,9.999999747378752e-05
9008,9.999999747378752e-05
9508,9.999999747378752e-05
10009,9.999999747378752e-05
10509,9.999999747378752e-05
11010,9.999999747378752e-05
11510,9.999999747378752e-05
12011,9.999999747378752e-05
12511,9.999999747378752e-05
13012,9.999999747378752e-05
13512,9.999999747378752e-05
14013,9.999999747378752e-05
14513,9.999999747378752e-05
15014,9.999999747378752e-05
15514,9.999999747378752e-05
16015,9.999999747378752e-05
16515,9.999999747378752e-05
17015,9.999999747378752e-05
17516,9.999999747378752e-05
18016,9.999999747378752e-05
18517,9.999999747378752e-05
19017,9.999999747378752e-05
19518,9.999999747378752e-05
20018,9.999999747378752e-05
20519,9.999999747378752e-05
21019,9.999999747378752e-05
21520,9.999999747378752e-05
22020,9.999999747378752e-05
22521,9.999999747378752e-05
23021,9.999999747378752e-05
23522,9.999999747378752e-05
24022,9.999999747378752e-05
24523,9.999999747378752e-05
25023,9.999999747378752e-05
25523,9.999999747378752e-05
26024,9.999999747378752e-05
26524,9.999999747378752e-05
27025,9.999999747378752e-05
27525,9.999999747378752e-05
28026,9.999999747378752e-05
28526,9.999999747378752e-05
29027,9.999999747378752e-05
29527,9.999999747378752e-05
30028,9.999999747378752e-05
30528,9.999999747378752e-05
31029,9.999999747378752e-05
31529,9.999999747378752e-05
32030,9.999999747378752e-05
32530,9.999999747378752e-05
33030,9.999999747378752e-05
33531,9.999999747378752e-05
34031,9.999999747378752e-05
34532,9.999999747378752e-05
35032,9.999999747378752e-05
35533,9.999999747378752e-05
36033,9.999999747378752e-05
36534,9.999999747378752e-05
37034,9.999999747378752e-05
37535,9.999999747378752e-05
38035,9.999999747378752e-05
38536,9.999999747378752e-05
39036,9.999999747378752e-05
39537,9.999999747378752e-05
40037,9.999999747378752e-05
40538,9.999999747378752e-05
41038,9.999999747378752e-05
41538,9.999999747378752e-05
42039,9.999999747378752e-05
42539,9.999999747378752e-05
43040,9.999999747378752e-05
43540,9.999999747378752e-05
44041,9.999999747378752e-05
44541,9.999999747378752e-05
45042,9.999999747378752e-05
45542,9.999999747378752e-05
46043,9.999999747378752e-05
46543,9.999999747378752e-05
47044,9.999999747378752e-05
47544,9.999999747378752e-05
48045,9.999999747378752e-05
48545,9.999999747378752e-05
49046,9.999999747378752e-05
49546,9.999999747378752e-05
50046,9.999999747378752e-05
50547,9.999999747378752e-05
51047,9.999999747378752e-05
51548,9.999999747378752e-05
52048,9.999999747378752e-05
52549,9.999999747378752e-05
53049,9.999999747378752e-05
53550,9.999999747378752e-05
54050,9.999999747378752e-05
54551,9.999999747378752e-05
55051,9.999999747378752e-05
55552,9.999999747378752e-05
56052,9.999999747378752e-05
56553,9.999999747378752e-05
57053,9.999999747378752e-05
57553,9.999999747378752e-05
58054,9.999999747378752e-05
58554,9.999999747378752e-05
59055,9.999999747378752e-05
59555,9.999999747378752e-05
60056,9.999999747378752e-05
60556,9.999999747378752e-05
61057,9.999999747378752e-05
61557,9.999999747378752e-05
62058,9.999999747378752e-05
62558,9.999999747378752e-05
63059,9.999999747378752e-05
63559,9.999999747378752e-05
64060,9.999999747378752e-05
64560,9.999999747378752e-05
65061,9.999999747378752e-05
65561,9.999999747378752e-05
66061,9.999999747378752e-05
66562,9.999999747378752e-05
67062,9.999999747378752e-05
67563,9.999999747378752e-05
68063,9.999999747378752e-05
68564,9.999999747378752e-05
69064,9.999999747378752e-05
69565,9.999999747378752e-05
70065,9.999999747378752e-05
70566,9.999999747378752e-05
71066,9.999999747378752e-05
71567,9.999999747378752e-05
72067,9.999999747378752e-05
72568,9.999999747378752e-05
73068,9.999999747378752e-05
73569,9.999999747378752e-05
74069,9.999999747378752e-05
74569,9.999999747378752e-05
75070,9.999999747378752e-05
75570,9.999999747378752e-05
76071,9.999999747378752e-05
76571,9.999999747378752e-05
77072,9.999999747378752e-05
77572,9.999999747378752e-05
78073,9.999999747378752e-05
78573,9.999999747378752e-05
79074,9.999999747378752e-05
79574,9.999999747378752e-05
80075,9.999999747378752e-05
80575,9.999999747378752e-05
81076,9.999999747378752e-05
81576,9.999999747378752e-05
82076,9.999999747378752e-05
82577,9.999999747378752e-05
83077,9.999999747378752e-05
83578,9.999999747378752e-05
84078,9.999999747378752e-05
84579,9.999999747378752e-05
85079,9.999999747378752e-05
85580,9.999999747378752e-05
86080,9.999999747378752e-05
86581,9.999999747378752e-05
87081,9.999999747378752e-05
87582,9.999999747378752e-05
88082,9.999999747378752e-05
88583,9.999999747378752e-05
89083,9.999999747378752e-05
89584,9.999999747378752e-05
90084,9.999999747378752e-05
90584,9.999999747378752e-05
91085,9.999999747378752e-05
91585,9.999999747378752e-05
92086,9.999999747378752e-05
92586,9.999999747378752e-05
93087,9.999999747378752e-05
93587,9.999999747378752e-05
94088,9.999999747378752e-05
94588,9.999999747378752e-05
95089,9.999999747378752e-05
95589,9.999999747378752e-05
96090,9.999999747378752e-05
96590,9.999999747378752e-05
97091,9.999999747378752e-05
97591,9.999999747378752e-05
98092,9.999999747378752e-05
98592,9.999999747378752e-05
99092,9.999999747378752e-05
99593,9.999999747378752e-05
100093,9.999999747378752e-05
100594,9.999999747378752e-05
101094,9.999999747378752e-05
101595,9.999999747378752e-05
102095,9.999999747378752e-05
102596,9.999999747378752e-05
103096,9.999999747378752e-05
103597,9.999999747378752e-05
104097,9.999999747378752e-05
104598,9.999999747378752e-05
105098,9.999999747378752e-05
105599,9.999999747378752e-05
106099,9.999999747378752e-05
106599,9.999999747378752e-05
107100,9.999999747378752e-05
107600,9.999999747378752e-05
108101,9.999999747378752e-05
108601,9.999999747378752e-05
109102,9.999999747378752e-05
109602,9.999999747378752e-05
110103,9.999999747378752e-05
110603,9.999999747378752e-05
111104,9.999999747378752e-05
111604,9.999999747378752e-05
112105,9.999999747378752e-05
112605,9.999999747378752e-05
113106,9.999999747378752e-05
113606,9.999999747378752e-05
114107,9.999999747378752e-05
114607,9.999999747378752e-05
115107,9.999999747378752e-05
115608,9.999999747378752e-05
116108,9.999999747378752e-05
116609,9.999999747378752e-05
117109,9.999999747378752e-05
117610,9.999999747378752e-05
118110,9.999999747378752e-05
118611,9.999999747378752e-05
119111,9.999999747378752e-05
119612,9.999999747378752e-05
120112,9.999999747378752e-05
120613,9.999999747378752e-05
121113,9.999999747378752e-05
121614,9.999999747378752e-05
122114,9.999999747378752e-05
122615,9.999999747378752e-05
123115,9.999999747378752e-05
123615,9.999999747378752e-05
124116,9.999999747378752e-05
124616,9.999999747378752e-05
125117,9.999999747378752e-05
125617,9.999999747378752e-05
126118,9.999999747378752e-05
126618,9.999999747378752e-05
127119,9.999999747378752e-05
127619,9.999999747378752e-05
128120,9.999999747378752e-05
128620,9.999999747378752e-05
129121,9.999999747378752e-05
129621,9.999999747378752e-05
130122,9.999999747378752e-05
130622,9.999999747378752e-05
131123,9.999999747378752e-05
131623,9.999999747378752e-05
132123,9.999999747378752e-05
132624,9.999999747378752e-05
133124,9.999999747378752e-05
133625,9.999999747378752e-05
134125,9.999999747378752e-05
134626,9.999999747378752e-05
135126,9.999999747378752e-05
135627,9.999999747378752e-05
136127,9.999999747378752e-05
136628,9.999999747378752e-05
137128,9.999999747378752e-05
137629,9.999999747378752e-05
138129,9.999999747378752e-05
138630,9.999999747378752e-05
139130,9.999999747378752e-05
139630,9.999999747378752e-05
140131,9.999999747378752e-05
140631,9.999999747378752e-05
141132,9.999999747378752e-05
141632,9.999999747378752e-05
142133,9.999999747378752e-05
142633,9.999999747378752e-05
143134,9.999999747378752e-05
143634,9.999999747378752e-05
144135,9.999999747378752e-05
144635,9.999999747378752e-05
145136,9.999999747378752e-05
145636,9.999999747378752e-05
146137,9.999999747378752e-05
146637,9.999999747378752e-05
147138,9.999999747378752e-05
147638,9.999999747378752e-05
148138,9.999999747378752e-05
148639,9.999999747378752e-05
149139,9.999999747378752e-05
149640,9.999999747378752e-05
150140,9.999999747378752e-05
150641,9.999999747378752e-05
151141,9.999999747378752e-05
151642,9.999999747378752e-05
152142,9.999999747378752e-05
152643,9.999999747378752e-05
153143,9.999999747378752e-05
153644,9.999999747378752e-05
154144,9.999999747378752e-05
154645,9.999999747378752e-05
155145,9.999999747378752e-05
155646,9.999999747378752e-05
156146,9.999999747378752e-05
156646,9.999999747378752e-05
157147,9.999999747378752e-05
157647,9.999999747378752e-05
158148,9.999999747378752e-05
158648,9.999999747378752e-05
159149,9.999999747378752e-05
159649,9.999999747378752e-05
160150,9.999999747378752e-05
160650,9.999999747378752e-05
161151,9.999999747378752e-05
161651,9.999999747378752e-05
162152,9.999999747378752e-05
162652,9.999999747378752e-05
163153,9.999999747378752e-05
163653,9.999999747378752e-05
164153,9.999999747378752e-05
164654,9.999999747378752e-05
165154,9.999999747378752e-05
165655,9.999999747378752e-05
166155,9.999999747378752e-05
166656,9.999999747378752e-05
167156,9.999999747378752e-05
167657,9.999999747378752e-05
168157,9.999999747378752e-05
168658,9.999999747378752e-05
169158,9.999999747378752e-05
169659,9.999999747378752e-05
170159,9.999999747378752e-05
170660,9.999999747378752e-05
171160,9.999999747378752e-05
171661,9.999999747378752e-05
172161,9.999999747378752e-05
172661,9.999999747378752e-05
173162,9.999999747378752e-05
173662,9.999999747378752e-05
174163,9.999999747378752e-05
174663,9.999999747378752e-05
175164,9.999999747378752e-05
175664,9.999999747378752e-05
176165,9.999999747378752e-05
176665,9.999999747378752e-05
177166,9.999999747378752e-05
177666,9.999999747378752e-05
178167,9.999999747378752e-05
178667,9.999999747378752e-05
179168,9.999999747378752e-05
179668,9.999999747378752e-05
180169,9.999999747378752e-05
180669,9.999999747378752e-05
181169,9.999999747378752e-05
181670,9.999999747378752e-05
182170,9.999999747378752e-05
182671,9.999999747378752e-05
183171,9.999999747378752e-05
183672,9.999999747378752e-05
184172,9.999999747378752e-05
184673,9.999999747378752e-05
185173,9.999999747378752e-05
185674,9.999999747378752e-05
186174,9.999999747378752e-05
186675,9.999999747378752e-05
187175,9.999999747378752e-05
187676,9.999999747378752e-05
188176,9.999999747378752e-05
188676,9.999999747378752e-05
189177,9.999999747378752e-05
189677,9.999999747378752e-05
190178,9.999999747378752e-05
190678,9.999999747378752e-05
191179,9.999999747378752e-05
191679,9.999999747378752e-05
192180,9.999999747378752e-05
192680,9.999999747378752e-05
193181,9.999999747378752e-05
193681,9.999999747378752e-05
194182,9.999999747378752e-05
194682,9.999999747378752e-05
195183,9.999999747378752e-05
195683,9.999999747378752e-05
196184,9.999999747378752e-05
196684,9.999999747378752e-05
197184,9.999999747378752e-05
197685,9.999999747378752e-05
198185,9.999999747378752e-05
198686,9.999999747378752e-05
199186,9.999999747378752e-05
199687,9.999999747378752e-05
200187,9.999999747378752e-05
200688,9.999999747378752e-05
201188,9.999999747378752e-05
201689,9.999999747378752e-05
202189,9.999999747378752e-05
202690,9.999999747378752e-05
203190,9.999999747378752e-05
203691,9.999999747378752e-05
204191,9.999999747378752e-05
204692,9.999999747378752e-05
205192,9.999999747378752e-05
205692,9.999999747378752e-05
206193,9.999999747378752e-05
206693,9.999999747378752e-05
207194,9.999999747378752e-05
207694,9.999999747378752e-05
208195,9.999999747378752e-05
208695,9.999999747378752e-05
209196,9.999999747378752e-05
209696,9.999999747378752e-05
210197,9.999999747378752e-05
210697,9.999999747378752e-05
211198,9.999999747378752e-05
211698,9.999999747378752e-05
212199,9.999999747378752e-05
212699,9.999999747378752e-05
213199,9.999999747378752e-05
213700,9.999999747378752e-05
214200,9.999999747378752e-05
214701,9.999999747378752e-05
215201,9.999999747378752e-05
215702,9.999999747378752e-05
216202,9.999999747378752e-05
216703,9.999999747378752e-05
217203,9.999999747378752e-05
217704,9.999999747378752e-05
218204,9.999999747378752e-05
218705,9.999999747378752e-05
219205,9.999999747378752e-05
219706,9.999999747378752e-05
220206,9.999999747378752e-05
220707,9.999999747378752e-05
221207,9.999999747378752e-05
221707,9.999999747378752e-05
222208,9.999999747378752e-05
222708,9.999999747378752e-05
223209,9.999999747378752e-05
223709,9.999999747378752e-05
224210,9.999999747378752e-05
224710,9.999999747378752e-05
225211,9.999999747378752e-05
225711,9.999999747378752e-05
226212,9.999999747378752e-05
226712,9.999999747378752e-05
227213,9.999999747378752e-05
227713,9.999999747378752e-05
228214,9.999999747378752e-05
228714,9.999999747378752e-05
229215,9.999999747378752e-05
229715,9.999999747378752e-05
230215,9.999999747378752e-05
230716,9.999999747378752e-05
231216,9.999999747378752e-05
231717,9.999999747378752e-05
232217,9.999999747378752e-05
232718,9.999999747378752e-05
233218,9.999999747378752e-05
233719,9.999999747378752e-05
234219,9.999999747378752e-05
234720,9.999999747378752e-05
235220,9.999999747378752e-05
235721,9.999999747378752e-05
236221,9.999999747378752e-05
236722,9.999999747378752e-05
237222,9.999999747378752e-05
237722,9.999999747378752e-05
238223,9.999999747378752e-05
238723,9.999999747378752e-05
239224,9.999999747378752e-05
239724,9.999999747378752e-05
240225,9.999999747378752e-05
240725,9.999999747378752e-05
241226,9.999999747378752e-05
241726,9.999999747378752e-05
242227,9.999999747378752e-05
242727,9.999999747378752e-05
243228,9.999999747378752e-05
243728,9.999999747378752e-05
244229,9.999999747378752e-05
244729,9.999999747378752e-05
245230,9.999999747378752e-05
245730,9.999999747378752e-05
246230,9.999999747378752e-05
246731,9.999999747378752e-05
247231,9.999999747378752e-05
247732,9.999999747378752e-05
248232,9.999999747378752e-05
248733,9.999999747378752e-05
249233,9.999999747378752e-05
249734,9.999999747378752e-05
250234,9.999999747378752e-05
250735,9.999999747378752e-05
251235,9.999999747378752e-05
251736,9.999999747378752e-05
252236,9.999999747378752e-05
252737,9.999999747378752e-05
253237,9.999999747378752e-05
253738,9.999999747378752e-05
254238,9.999999747378752e-05
254738,9.999999747378752e-05
255239,9.999999747378752e-05
255739,9.999999747378752e-05
256240,9.999999747378752e-05
256740,9.999999747378752e-05
257241,9.999999747378752e-05
257741,9.999999747378752e-05
258242,9.999999747378752e-05
258742,9.999999747378752e-05
259243,9.999999747378752e-05
259743,9.999999747378752e-05
260244,9.999999747378752e-05
260744,9.999999747378752e-05
261245,9.999999747378752e-05
261745,9.999999747378752e-05
262246,9.999999747378752e-05
262746,9.999999747378752e-05
263246,9.999999747378752e-05
263747,9.999999747378752e-05
264247,9.999999747378752e-05
264748,9.999999747378752e-05
265248,9.999999747378752e-05
265749,9.999999747378752e-05
266249,9.999999747378752e-05
266750,9.999999747378752e-05
267250,9.999999747378752e-05
267751,9.999999747378752e-05
268251,9.999999747378752e-05
268752,9.999999747378752e-05
269252,9.999999747378752e-05
269753,9.999999747378752e-05
270253,9.999999747378752e-05
270753,9.999999747378752e-05
271254,9.999999747378752e-05
271754,9.999999747378752e-05
272255,9.999999747378752e-05
272755,9.999999747378752e-05
273256,9.999999747378752e-05
273756,9.999999747378752e-05
274257,9.999999747378752e-05
274757,9.999999747378752e-05
275258,9.999999747378752e-05
275758,9.999999747378752e-05
276259,9.999999747378752e-05
276759,9.999999747378752e-05
277260,9.999999747378752e-05
277760,9.999999747378752e-05
278261,9.999999747378752e-05
278761,9.999999747378752e-05
279261,9.999999747378752e-05
279762,9.999999747378752e-05
280262,9.999999747378752e-05
280763,9.999999747378752e-05
281263,9.999999747378752e-05
281764,9.999999747378752e-05
282264,9.999999747378752e-05
282765,9.999999747378752e-05
283265,9.999999747378752e-05
283766,9.999999747378752e-05
284266,9.999999747378752e-05
284767,9.999999747378752e-05
285267,9.999999747378752e-05
285768,9.999999747378752e-05
286268,9.999999747378752e-05
286769,9.999999747378752e-05
287269,9.999999747378752e-05
287769,9.999999747378752e-05
288270,9.999999747378752e-05
288770,9.999999747378752e-05
289271,9.999999747378752e-05
289771,9.999999747378752e-05
290272,9.999999747378752e-05
290772,9.999999747378752e-05
291273,9.999999747378752e-05
291773,9.999999747378752e-05
292274,9.999999747378752e-05
292774,9.999999747378752e-05
293275,9.999999747378752e-05
293775,9.999999747378752e-05
294276,9.999999747378752e-05
294776,9.999999747378752e-05
295276,9.999999747378752e-05
295777,9.999999747378752e-05
296277,9.999999747378752e-05
296778,9.999999747378752e-05
297278,9.999999747378752e-05
297779,9.999999747378752e-05
298279,9.999999747378752e-05
298780,9.999999747378752e-05
299280,9.999999747378752e-05
299781,9.999999747378752e-05
300281,9.999999747378752e-05
300782,9.999999747378752e-05
301282,9.999999747378752e-05
301783,9.999999747378752e-05
302283,9.999999747378752e-05
