step,value
0,0.0
500,500.0
1000,1000.0
1501,1501.0
2001,2001.0
2502,2502.0
3002,3002.0
3503,3503.0
4003,4003.0
4504,4504.0
5004,5004.0
5505,5505.0
6005,6005.0
6506,6506.0
7006,7006.0
7507,7507.0
8007,8007.0
8507,8507.0
9008,9008.0
9508,9508.0
10009,10009.0
10509,10509.0
11010,11010.0
11510,11510.0
12011,12011.0
12511,12511.0
13012,13012.0
13512,13512.0
14013,14013.0
14513,14513.0
15014,15014.0
15514,15514.0
16015,16015.0
16515,16515.0
17015,17015.0
17516,17516.0
18016,18016.0
18517,18517.0
19017,19017.0
19518,19518.0
20018,20018.0
20519,20519.0
21019,21019.0
21520,21520.0
22020,22020.0
22521,22521.0
23021,23021.0
23522,23522.0
24022,24022.0
24523,24523.0
25023,25023.0
25523,25523.0
26024,26024.0
26524,26524.0
27025,27025.0
27525,27525.0
28026,28026.0
28526,28526.0
29027,29027.0
29527,29527.0
30028,30028.0
30528,30528.0
31029,31029.0
31529,31529.0
32030,32030.0
32530,32530.0
33030,33030.0
33531,33531.0
34031,34031.0
34532,34532.0
35032,35032.0
35533,35533.0
36033,36033.0
36534,36534.0
37034,37034.0
37535,37535.0
38035,38035.0
38536,38536.0
39036,39036.0
39537,39537.0
40037,40037.0
40538,40538.0
41038,41038.0
41538,41538.0
42039,42039.0
42539,42539.0
43040,43040.0
43540,43540.0
44041,44041.0
44541,44541.0
45042,45042.0
45542,45542.0
46043,46043.0
46543,46543.0
47044,47044.0
47544,47544.0
48045,48045.0
48545,48545.0
49046,49046.0
49546,49546.0
50046,50046.0
50547,50547.0
51047,51047.0
51548,51548.0
52048,52048.0
52549,52549.0
53049,53049.0
53550,53550.0
54050,54050.0
54551,54551.0
55051,55051.0
55552,55552.0
56052,56052.0
56553,56553.0
57053,57053.0
57553,57553.0
58054,58054.0
58554,58554.0
59055,59055.0
59555,59555.0
60056,60056.0
60556,60556.0
61057,61057.0
61557,61557.0
62058,62058.0
62558,62558.0
63059,63059.0
63559,63559.0
64060,64060.0
64560,64560.0
65061,65061.0
65561,65561.0
66061,66061.0
66562,66562.0
67062,67062.0
67563,67563.0
68063,68063.0
68564,68564.0
69064,69064.0
69565,69565.0
70065,70065.0
70566,70566.0
71066,71066.0
71567,71567.0
72067,72067.0
72568,72568.0
73068,73068.0
73569,73569.0
74069,74069.0
74569,74569.0
75070,75070.0
75570,75570.0
76071,76071.0
76571,76571.0
77072,77072.0
77572,77572.0
78073,78073.0
78573,78573.0
79074,79074.0
79574,79574.0
80075,80075.0
80575,80575.0
81076,81076.0
81576,81576.0
82076,82076.0
82577,82577.0
83077,83077.0
83578,83578.0
84078,84078.0
84579,84579.0
85079,85079.0
85580,85580.0
86080,86080.0
86581,86581.0
87081,87081.0
87582,87582.0
88082,88082.0
88583,88583.0
89083,89083.0
89584,89584.0
90084,90084.0
90584,90584.0
91085,91085.0
91585,91585.0
92086,92086.0
92586,92586.0
93087,93087.0
93587,93587.0
94088,94088.0
94588,94588.0
95089,95089.0
95589,95589.0
96090,96090.0
96590,96590.0
97091,97091.0
97591,97591.0
98092,98092.0
98592,98592.0
99092,99092.0
99593,99593.0
100093,100093.0
100594,100594.0
101094,101094.0
101595,101595.0
102095,102095.0
102596,102596.0
103096,103096.0
103597,103597.0
104097,104097.0
104598,104598.0
105098,105098.0
105599,105599.0
106099,106099.0
106599,106599.0
107100,107100.0
107600,107600.0
108101,108101.0
108601,108601.0
109102,109102.0
109602,109602.0
110103,110103.0
110603,110603.0
111104,111104.0
111604,111604.0
112105,112105.0
112605,112605.0
113106,113106.0
113606,113606.0
114107,114107.0
114607,114607.0
115107,115107.0
115608,115608.0
116108,116108.0
116609,116609.0
117109,117109.0
117610,117610.0
118110,118110.0
118611,118611.0
119111,119111.0
119612,119612.0
120112,120112.0
120613,120613.0
121113,121113.0
121614,121614.0
122114,122114.0
122615,122615.0
123115,123115.0
123615,123615.0
124116,124116.0
124616,124616.0
125117,125117.0
125617,125617.0
126118,126118.0
126618,126618.0
127119,127119.0
127619,127619.0
128120,128120.0
128620,128620.0
129121,129121.0
129621,129621.0
130122,130122.0
130622,130622.0
131123,131123.0
131623,131623.0
132123,132123.0
132624,132624.0
133124,133124.0
133625,133625.0
134125,134125.0
134626,134626.0
135126,135126.0
135627,135627.0
136127,136127.0
136628,136628.0
137128,137128.0
137629,137629.0
138129,138129.0
138630,138630.0
139130,139130.0
139630,139630.0
140131,140131.0
140631,140631.0
141132,141132.0
141632,141632.0
142133,142133.0
142633,142633.0
143134,143134.0
143634,143634.0
144135,144135.0
144635,144635.0
145136,145136.0
145636,145636.0
146137,146137.0
146637,146637.0
147138,147138.0
147638,147638.0
148138,148138.0
148639,148639.0
149139,149139.0
149640,149640.0
150140,150140.0
150641,150641.0
