step,value
35,35.0
56,21.0
97,41.0
107,10.0
138,31.0
182,44.0
202,20.0
239,37.0
279,40.0
287,8.0
301,14.0
339,38.0
381,42.0
427,46.0
460,33.0
502,42.0
507,5.0
566,59.0
604,38.0
609,5.0
624,15.0
668,44.0
705,37.0
765,60.0
805,40.0
845,40.0
885,40.0
925,40.0
966,41.0
1005,39.0
1023,18.0
1066,43.0
1112,46.0
1129,17.0
1166,37.0
1208,42.0
1253,45.0
1307,54.0
1327,20.0
1364,37.0
1407,43.0
1447,40.0
1490,43.0
1527,37.0
1571,44.0
1628,57.0
1668,40.0
1714,46.0
1770,56.0
1836,66.0
1893,57.0
1931,38.0
1973,42.0
1978,5.0
2032,54.0
2072,40.0
2117,45.0
2176,59.0
2239,63.0
2294,55.0
2341,47.0
2417,76.0
2461,44.0
2525,64.0
2639,114.0
2682,43.0
2683,1.0
2684,1.0
2685,1.0
2686,1.0
2687,1.0
2764,77.0
2841,77.0
2927,86.0
2989,62.0
3048,59.0
3144,96.0
3187,43.0
3227,40.0
3288,61.0
3329,41.0
3389,60.0
3492,103.0
3553,61.0
3752,199.0
3852,100.0
3929,77.0
4012,83.0
4170,158.0
4352,182.0
4353,1.0
4354,1.0
4355,1.0
4356,1.0
4436,80.0
4438,2.0
4577,139.0
4818,241.0
4915,97.0
5077,162.0
5135,58.0
5180,45.0
5260,80.0
5380,120.0
5481,101.0
5544,63.0
5618,74.0
5782,164.0
5864,82.0
5866,2.0
5921,55.0
5963,42.0
6141,178.0
6203,62.0
6204,1.0
6205,1.0
6207,2.0
6266,59.0
6367,101.0
6368,1.0
6369,1.0
6525,156.0
6569,44.0
6625,56.0
6749,124.0
6752,3.0
6849,97.0
7050,201.0
7052,2.0
7311,259.0
7813,502.0
7953,140.0
8029,76.0
8034,5.0
8176,142.0
8293,117.0
8414,121.0
8492,78.0
8496,4.0
8714,218.0
8718,4.0
8792,74.0
8857,65.0
8993,136.0
8999,6.0
9094,95.0
9134,40.0
9138,4.0
9195,57.0
9261,66.0
9371,110.0
9438,67.0
9441,3.0
9537,96.0
9656,119.0
9738,82.0
9822,84.0
9920,98.0
9981,61.0
10299,318.0
10300,1.0
10365,65.0
10501,136.0
10585,84.0
10663,78.0
10664,1.0
10665,1.0
10666,1.0
10945,279.0
10947,2.0
11006,59.0
11186,180.0
11346,160.0
11347,1.0
11348,1.0
11987,639.0
12126,139.0
12269,143.0
12409,140.0
12569,160.0
12687,118.0
12765,78.0
12769,4.0
12889,120.0
13012,123.0
13089,77.0
13133,44.0
13214,81.0
13288,74.0
13372,84.0
13490,118.0
13649,159.0
13711,62.0
13755,44.0
14053,298.0
14274,221.0
14355,81.0
14433,78.0
14495,62.0
14556,61.0
14637,81.0
15094,457.0
15300,206.0
15457,157.0
15600,143.0
15676,76.0
15955,279.0
16020,65.0
16361,341.0
16422,61.0
16498,76.0
16538,40.0
16622,84.0
16703,81.0
16764,61.0
16845,81.0
16903,58.0
16981,78.0
17124,143.0
17260,136.0
17321,61.0
17544,223.0
17549,5.0
17688,139.0
17783,95.0
17907,124.0
18004,97.0
18050,46.0
18172,122.0
18251,79.0
18370,119.0
18491,121.0
18588,97.0
18631,43.0
18730,99.0
18812,82.0
18876,64.0
19056,180.0
19679,623.0
20099,420.0
20261,162.0
20356,95.0
20523,167.0
20698,175.0
20798,100.0
21404,606.0
21583,179.0
22084,501.0
22240,156.0
22442,202.0
22529,87.0
22669,140.0
22671,2.0
22912,241.0
23270,358.0
23328,58.0
23508,180.0
23572,64.0
23613,41.0
23692,79.0
23770,78.0
23889,119.0
23972,83.0
23978,6.0
24316,338.0
24434,118.0
24439,5.0
24661,222.0
25320,659.0
25640,320.0
25980,340.0
26121,141.0
26163,42.0
26262,99.0
26266,4.0
26364,98.0
26925,561.0
26928,3.0
27090,162.0
27171,81.0
27229,58.0
27284,55.0
27468,184.0
27471,3.0
27610,139.0
27710,100.0
27851,141.0
27933,82.0
28110,177.0
28171,61.0
28273,102.0
28432,159.0
28492,60.0
29052,560.0
29255,203.0
29596,341.0
29691,95.0
29912,221.0
30395,483.0
30498,103.0
30776,278.0
31036,260.0
31224,188.0
31343,119.0
31505,162.0
31559,54.0
31761,202.0
31826,65.0
31906,80.0
32084,178.0
32308,224.0
32401,93.0
32944,543.0
33810,866.0
33951,141.0
34754,803.0
35213,459.0
35896,683.0
36819,923.0
37033,214.0
37198,165.0
37500,302.0
38183,683.0
39284,1101.0
39401,117.0
39765,364.0
39827,62.0
39828,1.0
40203,375.0
40208,5.0
40804,596.0
41829,1025.0
41913,84.0
43913,2000.0
44535,622.0
46535,2000.0
46985,450.0
47905,920.0
47960,55.0
48082,122.0
48323,241.0
49431,1108.0
50449,1018.0
50452,3.0
50612,160.0
51256,644.0
52293,1037.0
54293,2000.0
54665,372.0
55027,362.0
55548,521.0
57325,1777.0
57590,265.0
58313,723.0
58534,221.0
60534,2000.0
60815,281.0
61379,564.0
61440,61.0
61556,116.0
61664,108.0
