step,value
27,27.0
47,20.0
89,42.0
112,23.0
159,47.0
195,36.0
235,40.0
277,42.0
326,49.0
367,41.0
403,36.0
448,45.0
488,40.0
530,42.0
572,42.0
613,41.0
653,40.0
693,40.0
733,40.0
774,41.0
815,41.0
855,40.0
896,41.0
937,41.0
977,40.0
1016,39.0
1045,29.0
1060,15.0
1097,37.0
1137,40.0
1178,41.0
1218,40.0
1259,41.0
1262,3.0
1302,40.0
1339,37.0
1379,40.0
1420,41.0
1424,4.0
1438,14.0
1443,5.0
1482,39.0
1483,1.0
1484,1.0
1485,1.0
1486,1.0
1487,1.0
1488,1.0
1489,1.0
1490,1.0
1491,1.0
1492,1.0
1493,1.0
1494,1.0
1495,1.0
1496,1.0
1501,5.0
1506,5.0
1511,5.0
1550,39.0
1590,40.0
1630,40.0
1670,40.0
1710,40.0
1750,40.0
1790,40.0
1830,40.0
1870,40.0
1912,42.0
1955,43.0
2011,56.0
2051,40.0
2091,40.0
2136,45.0
2194,58.0
2233,39.0
2275,42.0
2316,41.0
2373,57.0
2413,40.0
2454,41.0
2500,46.0
2563,63.0
2637,74.0
2676,39.0
2716,40.0
2756,40.0
2797,41.0
2804,7.0
2858,54.0
2898,40.0
2938,40.0
2982,44.0
2985,3.0
3041,56.0
3044,3.0
3099,55.0
3141,42.0
3199,58.0
3263,64.0
3266,3.0
3327,61.0
3380,53.0
3424,44.0
3461,37.0
3502,41.0
3543,41.0
3583,40.0
3623,40.0
3629,6.0
3684,55.0
3725,41.0
3764,39.0
3805,41.0
3865,60.0
3907,42.0
3971,64.0
3975,4.0
4030,55.0
4033,3.0
4088,55.0
4129,41.0
4137,8.0
4189,52.0
4256,67.0
4312,56.0
4352,40.0
4390,38.0
4431,41.0
4438,7.0
4516,78.0
4571,55.0
4612,41.0
4617,5.0
4677,60.0
4739,62.0
4792,53.0
4832,40.0
4898,66.0
4958,60.0
5033,75.0
5073,40.0
5134,61.0
5194,60.0
5275,81.0
5278,3.0
5281,3.0
5339,58.0
5398,59.0
5401,3.0
5404,3.0
5463,59.0
5521,58.0
5581,60.0
5596,15.0
5677,81.0
5738,61.0
5742,4.0
5797,55.0
5837,40.0
5879,42.0
5925,46.0
5986,61.0
6039,53.0
6080,41.0
6162,82.0
6165,3.0
6220,55.0
6261,41.0
6306,45.0
6387,81.0
6441,54.0
6482,41.0
6521,39.0
6567,46.0
6623,56.0
6628,5.0
6685,57.0
6724,39.0
6762,38.0
6803,41.0
6810,7.0
6886,76.0
6925,39.0
6930,5.0
7045,115.0
7086,41.0
7128,42.0
7169,41.0
7232,63.0
7286,54.0
7327,41.0
7468,141.0
7530,62.0
7533,3.0
7630,97.0
7633,3.0
7713,80.0
7773,60.0
7829,56.0
7869,40.0
7872,3.0
7973,101.0
8034,61.0
8110,76.0
8151,41.0
8189,38.0
8253,64.0
8313,60.0
8371,58.0
8373,2.0
8430,57.0
8470,40.0
8473,3.0
8476,3.0
8554,78.0
8555,1.0
8556,1.0
8632,76.0
8671,39.0
8771,100.0
8812,41.0
8872,60.0
8876,4.0
9012,136.0
9017,5.0
9073,56.0
9116,43.0
9238,122.0
9333,95.0
9374,41.0
9452,78.0
9455,3.0
9458,3.0
9533,75.0
9536,3.0
9539,3.0
9599,60.0
9677,78.0
9734,57.0
9738,4.0
9815,77.0
9856,41.0
9920,64.0
9975,55.0
10020,45.0
10097,77.0
10136,39.0
10320,184.0
10381,61.0
10437,56.0
10520,83.0
10602,82.0
10658,56.0
10699,41.0
10743,44.0
10844,101.0
10940,96.0
11003,63.0
11063,60.0
11185,122.0
11245,60.0
11342,97.0
11439,97.0
11484,45.0
11544,60.0
11661,117.0
11667,6.0
11726,59.0
11787,61.0
11986,199.0
12127,141.0
12285,158.0
12427,142.0
12527,100.0
12589,62.0
12667,78.0
12709,42.0
12769,60.0
12847,78.0
12891,44.0
12989,98.0
13112,123.0
13171,59.0
13291,120.0
13354,63.0
13452,98.0
13553,101.0
13612,59.0
13674,62.0
13734,60.0
13810,76.0
13851,41.0
13855,4.0
13971,116.0
13975,4.0
14055,80.0
14116,61.0
14171,55.0
14212,41.0
14357,145.0
14453,96.0
14496,43.0
14553,57.0
14557,4.0
14617,60.0
14693,76.0
14756,63.0
14818,62.0
14915,97.0
14919,4.0
15039,120.0
15096,57.0
15280,184.0
15416,136.0
15421,5.0
15502,81.0
15576,74.0
15581,5.0
15657,76.0
15662,5.0
15720,58.0
15759,39.0
15823,64.0
15901,78.0
15964,63.0
16043,79.0
16125,82.0
16181,56.0
16184,3.0
16241,57.0
16280,39.0
16326,46.0
16387,61.0
16441,54.0
16506,65.0
16583,77.0
16622,39.0
16683,61.0
16727,44.0
16787,60.0
16846,59.0
16907,61.0
17064,157.0
17067,3.0
17145,78.0
17185,40.0
17188,3.0
17191,3.0
17309,118.0
17368,59.0
17510,142.0
17569,59.0
17691,122.0
